Category,Metric,Value
overall,True Positives,2
overall,False Positives,3
overall,False Negatives,6
overall,Precision,0.40
overall,Recall,0.25
overall,F1-score,0.31
overall,Evidence-grounding score,0.80
grounding,Fully grounded,4
grounding,Partially grounded,1
grounding,Unsupported,0
G1,Gold Count,2
G1,TP,1
G1,FP,1
G1,FN,1
G2,Gold Count,1
G2,TP,0
G2,FP,0
G2,FN,1
G3,Gold Count,2
G3,TP,0
G3,FP,1
G3,FN,2
G4,Gold Count,1
G4,TP,1
G4,FP,1
G4,FN,0
G5,Gold Count,1
G5,TP,0
G5,FP,0
G5,FN,1
G6,Gold Count,1
G6,TP,0
G6,FP,0
G6,FN,1
